plant,treatment,day,Pyruvic acid methyl ester,Tween 40,Tween 80,Alpha-cyclodextrin,Glycogen,D-Cellobiose,alpha-D-Lactose,Beta-Methyl-D-Glucoside,D-Xylose,I-Erythritol,D-Mannitol,N-Acetyl-D-Glucosamine,D-Glucosaminic acid,Glucose-1-phosphate,"D,L-alpha-glycerol phosphate",D-Galactonic acid gamma-Lactone,D-Galacturonic acid,2-Hydroxy benzoic acid,4-Hydroxy benzoic acid,gamma-Hydroxybutyric acid,Itaconic acid,alpha-Ketobutyric acid,D-Malic acid,L-Arginine,L-Asparagine,L-Phenylalanine,L-Serine,L-Threonine,Glycyl-L-glutamic acid,Phenylethylamine,Putrescine
20,ACM,55,0.982,0.728,0.717,0.324,0.814,0.942,0.594,2.108,0.534,0.29,0.454,1.352,0.453,0.913,0.534,1.391,1.862,-0.009,0.512,0.645,0.485,0.14,1.404,0.303,0.935,0.366,0.391,0.103,0.196,0.258,1.164
26,ACM,55,0.907,1.336,1.472,0.503,0.754,1.951,0.968,1.757,0.914,0.468,0.867,2.227,0.483,1.171,1.109,2.012,1.976,0.041,0.653,1.07,0.8,0.2,1.961,0.719,1.573,0.635,1.446,0.621,0.781,0.559,0.827
30,ACM,55,1.037,1.828,1.458,0.527,1.198,0.506,0.869,1.21,0.505,0.146,1.134,1.385,0.487,0.395,0.316,0.18,1.08,0.131,0.689,0.775,0.91,0.344,1.808,0.585,1.327,0.274,1.055,0.19,0.176,0.327,1.058
40,ACM,55,0.706,0.947,0.835,0.225,0.569,0.299,0.453,0.51,0.216,-0.033,0.744,0.971,0.247,0.24,0.237,0.849,0.58,0.06,0.463,0.568,0.549,-0.061,1.788,0.358,0.98,0.119,0.898,-0.064,0.022,0.255,0.373
46,ACM,55,0.934,0.457,0.725,-0.035,-0.01,0.388,0.338,1.381,0.355,0.059,0.358,1.126,0.653,0.477,0.912,1.248,1.42,-0.127,0.482,0.772,0.656,-0.079,1.046,0.299,0.984,0.265,0.404,0.391,0.288,0.387,0.441
50,ACM,55,0.836,1.166,0.959,0.2,0.172,1.777,0.676,2.044,0.507,0.154,0.746,2.183,0.345,0.656,0.639,0.441,1.492,-0.034,0.331,0.519,0.458,-0.029,0.787,0.403,1.085,0.201,0.7,0.171,0.34,0.257,0.535
20,ACM,1,0.013,0.025,0.045,0.098,0.032,0.007,0.017,-0.001,0.022,0,0.014,0.019,0.011,0.002,0.009,0.001,0.001,0,0.018,0.015,0.013,0.004,-0.001,0,0.003,0.011,0.01,-0.001,-0.002,-0.001,0.002
26,ACM,1,0.005,0.012,0.014,0.026,0.017,0.024,0.009,0.002,0.016,0.002,0.008,0.016,0.012,0.005,0.014,-0.002,-0.003,-0.001,0.004,0.006,0.003,0.008,0.008,-0.004,-0.003,-0.006,-0.005,-0.001,0,0.003,0.01
30,ACM,1,0.005,0.116,0.029,0.027,0.025,0.012,-0.002,0.002,0.022,0.009,0.013,0.018,0.006,0.006,0.003,-0.004,-0.005,0.004,0.01,0.005,0.011,0,-0.002,0,0.001,-0.004,-0.001,0.001,-0.002,-0.004,-0.004
40,ACM,1,-0.001,0.006,0.003,-0.001,0.003,-0.001,0.001,-0.002,0.01,-0.002,-0.002,-0.001,-0.002,-0.001,0.001,0.001,0,-0.003,-0.002,-0.002,0.001,0,0.001,0,0.004,-0.001,-0.002,0.001,-0.002,-0.001,0.001
46,ACM,1,0.026,0.092,0.027,0.072,0.082,0.21,0.164,0.005,0.023,0.022,0.035,0.07,0.041,0.038,0.01,0.014,-0.003,0.007,0.068,0.022,0.041,0.03,0.019,-0.004,-0.002,-0.003,0.011,0.01,0.009,0.011,0.008
50,ACM,1,0.791,1.572,1.47,0.05,0.036,0.016,-0.004,-0.003,0.088,0.01,0.314,0.112,0.243,0.002,0.159,0.254,1.639,-0.023,0.512,0.72,-0.006,-0.004,0.012,0.346,1.509,0.154,0.673,0.035,0.014,0.287,0.623
3,CommA,55,1.213,2.072,1.729,0.959,1.203,0.68,0.872,1.305,0.632,0.296,0.83,1.887,0.643,0.632,1.229,0.391,1.831,0.034,0.78,1.135,0.853,0.184,1.491,0.484,1.394,0.554,1.179,0.65,0.432,0.754,0.7
10,CommA,55,0.656,1.181,1.236,0.49,0.824,0.455,0.941,0.835,1.056,0.178,0.817,1.594,0.433,0.436,0.941,0.08,2.126,-0.089,0.39,0.831,0.677,0.087,0.824,0.393,1.063,0.416,0.545,0.599,0.343,0.394,0.49
13,CommA,55,1.219,1.649,1.411,0.694,1.212,0.916,0.901,2.032,1.038,0.347,1.02,2.233,0.623,0.79,0.605,0.211,2.716,0.002,0.609,0.855,0.736,0.254,1.306,0.483,1.292,0.404,1.178,0.265,0.417,0.377,0.51
15,CommA,55,0.807,0.674,0.095,-0.042,0.05,0.115,0.081,0.053,-0.021,-0.016,-0.033,0.136,-0.027,0.067,0.083,0.086,0.161,-0.036,-0.09,0.074,0.088,-0.107,0.025,0.159,0.995,-0.004,0.121,0.03,-0.082,0.109,-0.056
17,CommA,55,0.532,0.749,0.975,0.245,0.461,0.128,0.146,0.845,0.318,0.006,1.218,0.588,0.145,0.304,0.545,0.066,0.608,-0.082,0.504,0.68,0.638,0.201,1.402,0.541,1.275,0.345,0.889,0.335,0.136,0.453,0.592
24,CommA,55,1.369,1.758,1.606,1.48,1.103,1.159,0.82,1.304,1.057,0.843,1.427,1.87,1.247,1.51,1.284,0.511,1.512,0.125,0.95,1.082,1.088,0.376,1.673,0.698,1.061,0.932,1.282,0.736,1.208,0.771,1.13
29,CommA,55,0.792,1.841,2.531,0.22,0.377,0.271,0.651,0.974,0.245,0.213,0.529,1.072,0.232,0.41,0.426,0.058,0.717,-0.126,0.497,0.59,0.465,0.272,1.002,0.377,1.041,0.283,0.991,0.074,0.107,0.219,0.202
34,CommA,55,0.352,0.115,0.129,-0.097,-0.09,-0.01,-0.04,0.561,0.051,0.013,0.481,1.01,0.033,0.501,0.521,-0.053,0.107,-0.177,0.045,0.37,0.349,-0.145,0.563,0.201,0.512,0.068,0.44,0.107,0.038,0.175,0.314
35,CommA,55,0.868,0.95,0.829,0.239,0.925,0.874,1.418,0.868,0.916,0.259,0.805,1.654,0.62,0.894,0.651,-0.009,2.12,-0.121,0.48,0.757,0.685,0.018,0.987,0.362,1.115,0.371,0.96,0.557,0.42,0.453,0.746
38,CommA,55,0.763,1.062,1.869,0.678,0.47,0.689,0.453,1.295,0.519,0.6,1.025,1.482,0.64,1.268,1.123,0.423,1.433,0.013,0.744,0.834,0.893,0.563,1.532,0.553,1.28,0.752,1.16,1.028,0.955,0.735,0.718
43,CommA,55,1.176,2.036,1.791,0.245,0.277,0.524,0.597,1.072,0.559,0.365,1.317,1.765,0.473,0.921,1.015,0.171,1.458,0.006,0.717,0.913,0.912,0.414,1.552,0.74,1.656,0.358,1.316,0.308,0.346,0.579,0.8
3,CommA,1,0.513,1.175,1.361,0.352,0.15,0.49,0.718,1.031,0.511,0.245,0.615,1.022,0.43,0.421,0.681,0.305,1.379,-0.071,0.365,0.484,0.58,0.126,0.309,0.277,0.732,0.172,0.572,0.292,0.346,0.298,0.411
10,CommA,1,0.714,1.099,0.926,0.376,0.628,0.707,0.858,1.454,0.894,0.05,0.702,1.543,0.373,1.13,0.315,0.199,1.554,-0.111,0.419,0.608,0.634,0.183,1.453,0.25,0.928,0.144,0.729,0.686,0.534,0.363,0.337
13,CommA,1,0.549,0.495,0.777,0.148,0.091,0.998,1.007,1.074,1.087,0.459,0.742,1.949,0.282,1.094,0.832,0.256,2.491,-0.105,0.466,0.548,0.579,0.174,0.355,0.391,1.024,0.125,1.037,0.749,0.638,0.411,0.559
15,CommA,1,0.621,0.618,1.08,0.309,0.193,0.325,0.786,1.421,0.627,0.18,0.611,1.441,0.68,0.434,0.477,0.207,2.85,-0.085,0.325,0.507,0.511,0.335,1.026,0.313,0.808,0.265,0.622,0.449,0.488,0.236,0.271
17,CommA,1,0.813,0.815,1.124,0.393,0.127,0.463,0.693,0.996,0.523,0.096,0.46,1.58,0.262,0.662,0.984,0.696,1.492,-0.23,0.467,0.617,0.546,0.041,2.142,0.384,1.241,0.091,1.184,0.297,0.723,0.375,0.501
24,CommA,1,0.668,0.702,0.802,0.414,-0.011,0.315,0.753,0.644,0.897,0.023,0.506,1.298,0.285,0.534,0.712,0.239,2.343,-0.183,0.257,0.389,0.378,0.211,1.44,0.432,0.905,0.136,1.041,0.438,0.443,0.162,0.384
29,CommA,1,0.758,1.028,1.034,0.367,-0.037,0.462,0.733,1.364,0.466,0.279,0.499,1.311,0.801,0.497,0.501,0.275,1.962,-0.135,0.282,0.536,0.503,0.364,1.448,0.395,0.871,0.16,0.99,0.515,0.591,0.263,0.278
34,CommA,1,0.733,0.893,0.992,0.359,0.067,0.563,0.896,0.603,0.628,0.108,0.645,1.297,0.288,0.543,0.647,0.362,1.836,-0.095,0.38,0.535,0.481,0.238,1.486,0.459,0.961,0.247,1.019,0.466,0.418,0.346,0.484
38,CommA,1,0.533,0.733,0.986,0.095,0.03,0.363,0.648,0.85,0.541,0.228,0.579,1.156,0.297,0.386,0.382,0.16,2.334,-0.082,0.26,0.369,0.441,0.24,0.955,0.194,0.73,0.121,0.846,0.442,0.329,0.242,0.298
43,CommA,1,0.436,0.648,1.034,0.201,0.029,0.304,0.64,1.129,0.5,0.265,0.537,1.5,0.31,0.395,0.519,0.261,1.693,-0.07,0.298,0.531,0.538,0.006,0.288,0.218,0.776,0.159,0.431,0.288,0.255,0.301,0.307
5,CommB,55,1.888,1.639,1.566,0.566,1.521,1.267,0.996,2.525,0.643,0.725,0.897,2.476,0.648,0.637,1.34,0.616,2.122,0.023,0.894,1.156,1.145,0.139,1.192,1.104,1.488,0.597,1.117,0.883,0.709,0.818,1.029
7,CommB,55,0.593,0.66,0.508,0.481,0.264,0.437,0.379,1.187,0.493,0.207,0.554,1.557,0.293,0.37,0.64,0.406,0.877,-0.015,0.691,0.511,0.372,0.116,0.943,0.279,0.737,0.226,0.439,0.166,0.358,0.339,0.256
18,CommB,55,0.975,0.308,0.439,0.063,0.155,1.194,0.468,2.138,0.817,0.38,0.745,2.221,0.302,0.36,0.837,1.699,1.813,-0.011,0.262,0.451,0.235,0.02,0.932,0.236,0.661,0.105,0.252,0.153,0.252,0.323,0.487
22,CommB,55,0.992,0.714,1.122,0.405,0.641,1.472,0.822,2.531,0.503,0.359,0.979,2.491,0.459,0.393,0.678,0.816,1.876,-0.027,0.63,0.44,0.49,0.051,0.97,0.286,0.706,0.263,0.397,0.304,0.51,0.298,0.402
25,CommB,55,0.045,0.153,0.131,0.069,0.074,0.328,0.193,0.451,0.104,0.057,0.159,0.476,-0.003,0.008,0.064,0.015,0.186,0.021,0.003,0.076,0.066,0.046,0.024,0.03,0.074,0.073,0.055,0.059,0.038,0.026,0.061
27,CommB,55,0.381,0.209,0.177,-0.044,0.024,0.878,0.368,0.515,0.22,-0.069,0.351,0.445,-0.07,0.001,0.111,-0.049,1.054,-0.092,-0.008,0.064,-0.068,-0.105,0.029,-0.055,0.389,-0.044,0.015,-0.051,-0.074,0.191,-0.07
31,CommB,55,0.319,1.049,1.35,0.249,1.149,0.293,0.262,0.204,0.278,0.511,0.247,0.619,0.715,0.675,0.322,0.272,0.361,-0.141,0.633,1.124,1.129,-0.008,0.367,0.37,1.143,0.624,0.463,0.702,1.01,0.711,0.646
32,CommB,55,1.784,0.998,1.326,0.755,1.662,1.835,1.457,2.144,0.716,0.674,1.161,2.449,0.581,0.649,1.17,0.429,2.166,-0.021,0.757,1.054,1.208,0.052,1.33,0.963,1.252,0.635,0.723,0.725,0.964,0.673,0.855
44,CommB,55,0.405,0.058,0.075,-0.043,0.057,0.22,0.033,0.397,0.038,-0.047,0.108,0.335,-0.056,-0.011,-0.034,0.026,0.364,-0.02,-0.027,-0.043,-0.059,-0.048,-0.02,-0.056,-0.048,-0.055,-0.071,-0.052,-0.027,-0.059,-0.053
45,CommB,55,1.169,1.148,0.949,0.156,0.408,0.794,0.652,2.329,0.51,0.372,0.941,2.38,0.334,0.33,0.787,1.039,1.768,-0.031,0.668,0.894,0.722,0.12,1.334,0.24,1.176,0.582,0.652,0.19,0.346,0.403,0.539
5,CommB,1,1.29,1.47,0.801,0.137,0.047,1.642,1.091,2.014,0.83,0.203,1.042,2.442,0.352,0.747,0.856,0.482,1.623,-0.081,0.598,0.882,0.642,0.037,0.963,0.556,1.146,0.136,0.74,0.052,0.287,0.217,0.609
7,CommB,1,1.135,1.049,0.688,0.235,0.091,1.507,0.954,2.015,0.607,0.415,0.677,2.026,0.263,0.393,0.723,0.447,1.553,-0.139,0.394,0.723,0.542,-0.056,0.928,0.584,1.121,0.087,0.724,0.076,0.343,0.336,0.614
18,CommB,1,0.845,1.244,0.857,0.285,0.085,1.687,1.139,1.743,0.436,0.587,0.718,2.075,0.495,1.062,0.715,0.858,1.444,-0.236,0.448,0.756,0.579,-0.128,1.576,0.586,1.312,0.597,0.355,0.065,0.636,0.569,0.658
22,CommB,1,1.272,1.514,1.04,0.489,0.116,1.51,1.004,1.926,0.588,0.334,0.818,2.508,0.624,0.614,0.784,0.29,1.581,-0.17,0.3,0.698,0.6,-0.048,1.06,0.579,1.01,0.147,0.554,0.108,0.619,0.377,0.632
25,CommB,1,0.949,1.39,0.871,0.51,0.106,1.156,0.885,1.659,0.614,0.282,0.839,2.3,0.546,0.511,0.495,0.578,1.126,-0.196,0.346,0.56,0.573,-0.056,1.181,0.348,0.878,0.044,0.664,0.019,0.261,0.003,0.234
27,CommB,1,1.071,1.269,0.968,0.35,0.054,1.378,0.919,1.82,0.393,0.082,0.62,2.248,0.287,0.282,0.746,0.309,1.744,-0.24,0.282,0.694,0.583,-0.215,0.959,0.592,1.012,0.342,0.507,0.192,0.407,0.41,0.6
31,CommB,1,0.929,0.993,0.917,0.159,0.028,1.427,1.109,1.945,0.678,0.136,0.857,2.2,0.252,0.37,0.629,0.529,1.646,-0.081,0.572,0.918,0.637,0.068,0.869,0.417,1.142,0.191,0.674,0.06,0.346,0.415,0.66
32,CommB,1,0.763,1.002,0.608,0.1,0.013,1.449,1.189,1.984,0.74,0.149,0.823,2.166,0.297,0.809,0.962,0.461,1.424,-0.066,0.528,0.863,0.485,0.023,0.744,0.551,1.241,0.256,0.665,0.059,0.293,0.439,0.672
44,CommB,1,0.776,1.218,0.526,0.165,0.017,1.05,0.854,1.767,0.597,0.2,0.583,1.965,0.287,0.587,0.444,0.449,1.382,-0.153,0.415,0.827,0.717,-0.073,1.125,0.514,0.477,0.21,0.514,0.092,0.191,0.436,0.573
45,CommB,1,0.984,1.299,0.996,0.371,0.029,1.747,1.012,2.034,0.732,0.485,1.197,2.094,0.252,0.524,0.879,0.457,2,-0.09,0.449,0.701,0.589,-0.01,0.698,0.469,1.011,0.266,0.796,0.046,0.262,0.192,0.505
1,CommC,55,0.393,1.3,0.858,0.181,0.159,0.38,0.379,0.425,0.407,0.245,0.352,0.715,0.37,0.332,0.355,0.786,0.851,-0.016,0.909,0.375,0.238,0.053,1.326,0.208,0.629,0.243,0.365,0.254,0.299,0.226,0.335
8,CommC,55,1.126,1.395,2.026,0.543,1.123,0.827,0.836,2.036,0.592,0.395,0.631,1.963,0.442,0.449,1.388,1.12,1.628,0.018,0.829,0.878,0.693,0.133,1.504,0.451,1.02,0.455,0.527,0.292,0.368,0.468,0.561
16,CommC,55,0.425,1.041,1.012,0.384,0.451,0.403,0.453,0.311,0.404,0.477,0.454,0.561,0.587,0.519,1.844,0.682,0.64,-0.03,0.88,1.029,1.038,0.112,1.374,0.391,1.402,0.369,0.693,0.341,0.679,0.587,0.73
19,CommC,55,0.992,1.632,1.119,0.465,1.122,0.494,0.776,1.391,0.707,0.16,0.596,1.333,0.702,0.314,1.233,1.238,1.555,-0.021,0.777,0.861,0.615,0.195,1.352,0.375,0.847,0.569,0.518,0.103,0.164,0.366,0.695
21,CommC,55,1.398,0.598,0.179,0.088,0.265,0.239,0.155,0.195,0.237,0.033,0.432,0.307,0.058,0.129,0.222,0.054,0.214,0.034,0.017,0.05,0.066,0.035,0.056,0.046,0.09,0.046,0.154,0.04,0.049,0.091,0.025
28,CommC,55,1.099,0.212,0.054,-0.05,0.358,1.137,-0.026,2.155,0.034,0.082,0.663,0.575,-0.051,0.122,0.786,0.869,0.686,-0.128,0.36,0.59,0.491,-0.096,-0.003,0.459,0.681,0.294,0.24,-0.08,0.013,0.326,0.014
33,CommC,55,1.101,1.259,1.123,0.489,0.883,0.554,0.532,1.922,0.495,0.19,0.782,1.639,0.445,0.477,0.646,0.85,1.594,-0.063,0.677,0.91,0.629,0.131,0.833,0.459,-0.086,0.541,0.544,0.16,0.256,0.391,0.941
41,CommC,55,0.115,0.949,0.157,0.11,0.22,0.13,0.136,0.444,0.074,0.058,0.159,0.181,0.055,0.079,0.104,0.053,0.245,0.077,0.027,0.156,0.054,0.004,0.074,0.079,0.113,0.059,0.068,0.019,0.048,0.024,0.087
47,CommC,55,0.931,1.388,1.341,0.724,1.291,0.996,1.067,1.698,0.448,0.114,0.841,1.941,0.628,0.711,1.147,0.749,1.652,-0.062,0.841,0.923,0.828,0.116,1.577,0.424,1.171,0.329,0.774,0.281,0.328,0.394,0.731
49,CommC,55,0.685,0.947,1.141,0.633,1.436,0.717,0.766,0.563,0.275,0.456,0.706,1.599,0.428,0.423,0.675,0.374,1.216,-0.079,0.681,0.906,0.76,0.099,0.892,0.327,1.131,0.447,0.722,0.355,0.275,0.608,0.869
51,CommC,55,0.203,0.368,0.128,0.058,0.218,0.328,0.182,0.345,0.028,-0.051,0.099,0.103,-0.012,0.2,0.11,0.043,0.359,-0.011,-0.049,0.074,-0.047,-0.042,-0.061,-0.033,-0.04,-0.038,-0.054,-0.046,-0.046,-0.027,-0.065
1,CommC,1,0.523,1.36,1.15,0.197,0.012,0.531,0.707,0.831,0.421,0.207,0.523,0.777,0.459,0.184,0.554,0.979,0.871,-0.039,0.539,0.753,0.64,0.02,1.018,0.572,0.954,0.408,0.672,0.11,0.258,0.547,0.672
8,CommC,1,0.444,1.378,1.227,0.075,0.045,0.445,0.808,1.023,0.244,0.052,0.721,1.651,0.815,0.13,0.67,1.573,1.986,-0.157,0.464,0.807,0.753,-0.134,1.227,0.479,0.958,0.334,0.656,0.082,0.391,0.295,0.327
9,CommC,1,0.409,1.15,1.132,0.043,0.033,0.676,1.167,1.005,0.353,0.058,0.671,1.817,1.105,0.159,0.782,1.947,2.114,-0.108,0.454,0.849,0.573,0.043,0.923,0.563,1.07,0.368,0.768,0.101,0.437,0.374,0.627
16,CommC,1,0.595,1.15,1.058,0.085,0.012,0.89,0.877,0.787,0.292,0.061,0.573,1.766,1.207,0.112,0.912,1.698,2.003,-0.086,0.507,0.749,0.561,0.014,1.237,0.54,1.059,0.475,0.794,0.076,0.368,0.427,0.532
19,CommC,1,0.611,1.638,1.334,0.107,0.007,0.387,0.782,1.277,0.408,0.06,0.697,1.784,1.048,0.208,0.898,1.463,1.926,-0.134,0.476,0.825,0.751,-0.097,1.253,0.53,0.698,0.206,0.531,0.077,0.288,0.072,0.275
21,CommC,1,0.565,1.265,1.06,0.1,0.014,0.453,0.578,0.983,0.47,0.078,0.534,1.265,0.41,0.057,0.711,1.423,1.427,-0.046,0.495,0.701,0.557,-0.001,0.688,0.62,0.667,0.459,0.616,0.043,0.32,0.22,0.632
28,CommC,1,0.84,1.464,1.201,0.356,0.155,0.585,0.747,0.831,0.48,0.225,0.429,0.89,0.662,0.385,0.893,1.11,0.949,-0.101,0.563,0.971,0.663,0.079,0.936,0.542,0.892,0.349,0.724,0.02,0.19,0.387,0.529
33,CommC,1,0.482,1.596,1.409,0.639,0.155,0.504,0.664,1.185,0.303,0.336,0.483,1.638,0.763,0.32,0.306,1.155,2.021,-0.312,0.455,0.995,0.904,-0.255,0.936,0.623,1.065,0.621,0.356,0.603,0.448,0.444,0.686
41,CommC,1,0.475,1.435,1.27,-0.004,-0.064,0.298,0.348,0.784,0.365,-0.023,0.41,1.069,0.633,0.118,0.406,1.016,1.508,-0.175,0.391,0.764,0.578,-0.131,0.877,0.533,0.603,0.131,0.232,-0.006,0.13,0.023,0.361
47,CommC,1,1.317,1.08,1.121,0.1,0.018,0.695,0.726,0.824,0.528,0.061,0.678,1.769,1.292,0.089,0.81,1.81,2.274,-0.086,0.533,0.785,0.538,0.078,1.111,0.456,1.058,0.415,0.402,0.055,0.344,0.307,0.443
49,CommC,1,0.82,1.258,1.198,0.128,0.075,0.685,1.03,1.34,0.443,0.169,0.622,2.019,1.398,0.242,0.947,1.62,2.136,-0.061,0.501,0.923,0.617,0.058,1.339,0.634,1.212,0.498,0.712,0.178,0.452,0.419,0.49
51,CommC,1,0.465,1.424,1.264,0.043,-0.002,0.418,0.763,0.966,0.469,0.032,0.666,1.041,0.573,0.199,0.495,1.284,1.662,-0.149,0.464,0.902,0.753,-0.09,0.881,0.554,0.943,0.465,0.539,0.064,0.223,0.236,0.455
4,WATER,55,0.168,0.046,0.323,-0.149,-0.088,0.078,-0.12,-0.073,-0.141,-0.129,0.122,0.168,-0.125,0.067,0.182,-0.137,-0.137,-0.193,0.107,0.286,0.393,-0.17,-0.137,0.222,0.636,-0.095,0.53,-0.158,-0.151,0.144,0.251
6,WATER,55,-0.001,-0.046,0.01,-0.093,-0.049,-0.066,-0.11,-0.071,-0.179,-0.048,0.021,-0.027,-0.064,-0.05,-0.032,-0.07,-0.047,-0.185,0.196,0.041,0.307,-0.172,-0.047,0.041,0.222,-0.042,0.036,0.01,0.003,0.068,0.072
11,WATER,55,0.097,0.248,0.246,0.1,0.172,0.269,0.151,0.233,-0.034,0.155,0.288,0.312,0.153,0.255,0.121,0.086,0.115,-0.054,-0.002,0.281,0.042,-0.023,0.104,0.141,0.39,0.184,0.108,0.15,0.188,0.048,0.215
12,WATER,55,0.353,0.495,0.428,0.426,0.357,0.146,0.128,0.111,-0.04,0.411,0.388,0.464,0.354,0.164,0.291,0.191,0.402,-0.054,0.841,0.384,0.278,-0.025,0.275,0.176,0.704,0.107,0.111,0.33,0.367,0.121,0.085
23,WATER,55,-0.015,0.245,-0.005,-0.092,0.053,0.123,0.067,-0.05,-0.097,-0.035,-0.007,0.161,-0.035,0.073,-0.062,0.134,-0.074,-0.111,-0.096,0.214,0.045,-0.09,0.067,-0.081,-0.057,-0.027,-0.081,-0.08,0.276,-0.093,-0.079
36,WATER,55,-0.033,1.499,-0.059,-0.09,-0.018,-0.073,-0.082,-0.089,-0.098,-0.069,-0.027,-0.069,-0.093,-0.092,-0.076,-0.08,-0.087,-0.109,1.569,-0.085,-0.057,-0.09,0.279,-0.092,0.725,0.018,-0.089,-0.089,-0.08,-0.095,-0.087
42,WATER,55,-0.052,-0.005,0.096,0.002,0.012,0.158,-0.007,0.004,-0.093,-0.023,0.216,0.141,-0.023,0.184,-0.058,0.005,-0.019,-0.111,-0.055,0.029,-0.036,-0.083,0.015,0.201,0.191,0.02,-0.024,-0.001,-0.021,-0.062,-0.06
48,WATER,55,0.154,0.145,0.368,0.01,0.076,0.003,-0.005,-0.005,-0.097,0.014,0.196,0.226,0.03,0.022,0.164,0.071,0.429,-0.11,0.141,0.369,0.373,-0.082,0.03,0.226,0.799,0.123,0.559,0.011,0.028,0.136,0.2
4,WATER,1,0,0.002,0.004,-0.002,0.003,-0.003,-0.001,0.002,0.021,0.05,-0.002,-0.003,-0.005,-0.005,-0.003,-0.001,-0.003,-0.005,-0.004,-0.004,-0.004,-0.004,-0.002,-0.002,-0.002,-0.004,-0.004,-0.004,-0.005,-0.003,-0.003
6,WATER,1,0.001,0.002,0.005,-0.002,0.003,-0.002,0,-0.001,0.022,-0.003,0.001,-0.004,-0.003,-0.004,0,-0.001,0.006,-0.002,-0.003,-0.002,0.004,-0.003,-0.001,-0.001,-0.002,0.001,-0.001,0,0,-0.004,-0.001
12,WATER,1,-0.001,0.02,0.005,0.013,0.01,0,0,-0.001,0.018,0,0,0.003,0.002,0,0.003,0,-0.001,0,0,0.001,0.002,-0.001,0.003,0,0,-0.001,0.001,0.001,0.004,0.001,0.003
23,WATER,1,0.128,0.085,0.285,-0.002,0.026,1.002,0.002,-0.019,-0.006,-0.021,-0.011,1.927,0.017,-0.016,0.001,-0.02,-0.019,-0.019,-0.012,0.008,-0.003,-0.017,0.012,-0.004,-0.013,0.071,0.465,0.006,0.004,-0.017,-0.018
36,WATER,1,-0.002,0.005,0.002,-0.002,0.002,-0.002,0,-0.003,0.009,-0.003,-0.003,-0.002,-0.003,-0.002,0,0,-0.001,-0.004,-0.003,-0.003,0,-0.001,0,-0.001,0.003,-0.002,-0.003,0,-0.003,-0.002,0
48,WATER,1,0.001,0.006,0.005,-0.001,0.004,-0.001,0,0.002,0.022,-0.001,-0.001,0.003,-0.003,-0.002,-0.002,0,0,-0.003,-0.003,-0.002,-0.002,-0.002,-0.001,0,0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.002