rep,week,treatment,T0,T12,T24,T56
1,1,CommA,2346.80087,4843.3618,12272.3537,45394.7776
2,1,CommA,2201.0468,4601.18126,13685.7216,50948.3853
3,1,CommA,2025.01492,4371.11037,14498.7301,53630.0243
4,1,CommA,2173.00079,4601.18126,14875.4033,53287.2487
5,1,CommA,1839.32208,4099.6314,13685.7216,52272.0111
6,1,CommA,1986.43399,4571.77287,16695.2637,56815.9483
7,1,CommA,2377.09004,4905.87304,13685.7216,50948.3853
8,1,CommA,1887.10719,4073.42866,9805.35894,35351.0844
1,1,CommB,1101.24027,2377.09004,7394.9776,34016.8866
2,1,CommB,1181.71771,2486.21399,8353.06942,39422.356
3,1,CommB,1000.2571,2104.4393,7347.71269,36502.8035
4,1,CommB,968.697461,1973.73772,7161.65476,36037.6803
5,1,CommB,974.928705,1999.21193,7070.40008,35578.4838
6,1,CommB,938.133577,1961.1226,6847.31816,34235.7037
7,1,CommB,1019.6843,2145.31215,7115.88114,34677.5695
8,1,CommB,920.260098,2012.07206,6140.17391,27884.8928
1,1,CommC,968.697461,2131.60042,7538.60436,35125.1384
2,1,CommC,680.816182,1498.12311,6023.19028,32315.9549
3,1,CommC,789.001597,1617.94539,6847.31816,35351.0844
4,1,CommC,932.137509,1961.1226,8570.07999,40188.025
5,1,CommC,938.133577,1936.13374,8353.06942,39422.356
6,1,CommC,650.934059,1396.09781,6061.93506,32733.0433
7,1,CommC,809.499654,1714.06041,6673.93117,34016.8866
8,1,CommC,634.451182,1396.09781,5033.32634,25165.9796
1,2,CommA,583.710036,33799.4681,104475.967,NA
2,2,CommA,680.816182,40706.715,115023.57,NA
3,2,CommA,702.996804,35578.4838,103144.722,NA
1,2,CommB,572.589094,36037.6803,96120.3514,NA
2,2,CommB,614.433279,38424.1077,103808.211,NA
3,2,CommB,550.978807,24845.3116,85095.4074,NA
1,2,CommC,587.46481,20236.4426,68426.8346,NA
2,2,CommC,698.503609,32523.8305,76798.1896,NA
3,2,CommC,655.121258,17800.8297,52272.0111,NA
1,3,CommA,2258.22943,39422.356,76307.3349,NA
2,3,CommA,2316.89764,42032.9177,78289.7797,NA
3,3,CommA,2159.11209,31497.654,62954.3,NA
1,3,CommB,981.200032,3233.78432,14591.9947,NA
2,3,CommB,698.503609,2502.20681,13598.2494,NA
3,3,CommB,698.503609,2331.80132,12753.6954,NA
1,3,CommC,819.947526,38178.5205,105824.395,NA
2,3,CommC,896.957379,39931.1638,105148.019,NA
3,3,CommC,1032.84493,40446.5386,98617.5331,NA
1,4,CommA,510.174256,46276.4442,93686.403,NA
2,4,CommA,606.604095,45394.7776,94895.5741,NA
3,4,CommA,646.773623,47784.1057,97360.9364,NA
1,4,CommB,558.090059,37211.7684,81883.7916,NA
2,4,CommB,680.816182,41764.2649,87306.1639,NA
3,4,CommB,634.451182,39931.1638,82410.5173,NA
1,4,CommC,1736.18307,60191.134,93686.403,NA
2,4,CommC,1804.279,61360.1785,98617.5331,NA
3,4,CommC,1936.13374,58666.9811,91314.0868,NA
1,5,CommA,602.726993,28426.4789,76307.3349,NA
2,5,CommA,725.900059,35351.0844,92492.6393,NA
3,5,CommA,759.22361,31700.2658,84011.1112,NA
1,5,CommB,618.385683,34016.8866,73899.722,NA
2,5,CommB,712.070089,30115.1711,64589.8364,NA
3,5,CommB,739.998638,18263.2906,45980.6689,NA
1,5,CommC,2186.97884,58666.9811,101830.439,NA
2,5,CommC,2215.20526,61360.1785,103144.722,NA
3,5,CommC,2377.09004,56091.9925,92492.6393,NA