name,sample_id,nucleic_acid,plant_number,treatment,week,extraction_number
DNA1,DNA1_P43_M01_WK1,DNA,43,CommA,1,1
DNA2,DNA2_P3_M01_WK1,DNA,3,CommA,1,2
DNA3,DNA3_P13_M01_WK1,DNA,13,CommA,1,3
DNA7,DNA7_P43_M01_WK9,DNA,43,CommA,9,7
DNA8,DNA8_P3_M01_WK9,DNA,3,CommA,9,8
DNA9,DNA9_P13_M01_WK9,DNA,13,CommA,9,9
DNA10,DNA10_P5_M06_WK1,DNA,5,CommB,1,10
DNA11,DNA11_P18_M06_WK1,DNA,18,CommB,1,11
DNA12,DNA12_P45_M06_WK1,DNA,45,CommB,1,12
DNA16,DNA16_P5_M06_WK9,DNA,5,CommB,9,16
DNA17,DNA17_P18_M06_WK9,DNA,18,CommB,9,17
DNA18,DNA18_P45_M06_WK9,DNA,45,CommB,9,18
DNA19,DNA19_P19_M09_WK1,DNA,19,CommC,1,19
DNA20,DNA20_P1_M09_WK1,DNA,1,CommC,1,20
DNA21,DNA21_P33_M09_WK1,DNA,33,CommC,1,21
DNA25,DNA25_P19_M09_WK9,DNA,19,CommC,9,25
DNA26,DNA26_P1_M09_WK9,DNA,1,CommC,9,26
DNA27,DNA27_P33_M09_WK9,DNA,33,CommC,9,27
RNA1,RNA1_P43_M01_WK1,RNA,43,CommA,1,1
RNA2,RNA2_P3_M01_WK1,RNA,3,CommA,1,2
RNA3,RNA3_P13_M01_WK1,RNA,13,CommA,1,3
RNA4,RNA4_P43_M01_WK4,RNA,43,CommA,4,4
RNA5,RNA5_P3_M01_WK4,RNA,3,CommA,4,5
RNA6,RNA6_P13_M01_WK4,RNA,13,CommA,4,6
RNA7,RNA7_P43_M01_WK9,RNA,43,CommA,9,7
RNA8,RNA8_P3_M01_WK9,RNA,3,CommA,9,8
RNA9,RNA9_P13_M01_WK9,RNA,13,CommA,9,9
RNA10,RNA10_P5_M06_WK1,RNA,5,CommB,1,10
RNA11,RNA11_P18_M06_WK1,RNA,18,CommB,1,11
RNA12,RNA12_P45_M06_WK1,RNA,45,CommB,1,12
RNA13,RNA13_P5_M06_WK4,RNA,5,CommB,4,13
RNA14,RNA14_P18_M06_WK4,RNA,18,CommB,4,14
RNA15,RNA15_P45_M06_WK4,RNA,45,CommB,4,15
RNA16,RNA16_P5_M06_WK9,RNA,5,CommB,9,16
RNA17,RNA17_P18_M06_WK9,RNA,18,CommB,9,17
RNA18,RNA18_P45_M06_WK9,RNA,45,CommB,9,18
RNA19,RNA19_P19_M09_WK1,RNA,19,CommC,1,19
RNA20,RNA20_P1_M09_WK1,RNA,1,CommC,1,20
RNA21,RNA21_P33_M09_WK1,RNA,33,CommC,1,21
RNA22,RNA22_P19_M09_WK4,RNA,19,CommC,4,22
RNA23,RNA23_P1_M09_WK4,RNA,1,CommC,4,23
RNA24,RNA24_P33_M09_WK4,RNA,33,CommC,4,24
RNA25,RNA25_P19_M09_WK9,RNA,19,CommC,9,25
RNA26,RNA26_P1_M09_WK9,RNA,1,CommC,9,26
RNA27,RNA27_P33_M09_WK9,RNA,33,CommC,9,27
RNA28,RNA28_neg,NEG,NEG,NEG,NEG,28